單詞	TF	DF	TF-IDF
至到期之投資	29	29	4.661451203
美元計價的新	29	29	4.661451203
美元匯率跌幅	29	29	4.661451203
續期間趨向到	29	29	4.661451203
約存續期間趨	29	29	4.661451203
策略進行投資	29	29	4.661451203
策略採由上而	29	29	4.661451203
穩定收益來源	29	29	4.661451203
相關商品交?	29	15	5.366452344
的新興市場債	29	29	4.661451203
的指數績效表	29	26	4.778229566
的投資策略採	29	29	4.661451203
的債券投資與	29	29	4.661451203
的債券投資為	29	29	4.661451203
發布之股價指	29	26	4.778229566
略進行投資配	29	29	4.661451203
略採由上而下	29	29	4.661451203
用證券投資信	29	29	4.661451203
獲得穩定收益	29	29	4.661451203
為獲得穩定收	29	29	4.661451203
此同時基金投	29	29	4.661451203
權評等未達金	29	29	4.661451203
機構所發行之	29	21	5.006626961
標的指數績效	29	26	4.778229566
業運用證券投	29	29	4.661451203
本目所述投資	29	29	4.661451203
本基?於成?	29	29	4.661451203
本基金的投資	29	29	4.661451203
本基金在設定	29	29	4.661451203
本基金主要以	29	29	4.661451203
期間趨向到期	29	29	4.661451203
期而逐年降低	29	29	4.661451203
期年限間提供	29	29	4.661451203
期之投資人穩	29	29	4.661451203
時基金投資組	29	29	4.661451203
易或買入短期	29	29	4.661451203
於成立六個月	29	23	4.909341208
於基?淨資產	29	11	5.698133842
於前項八所列	29	29	4.661451203
新興市場債為	29	29	4.661451203
散的債券投資	29	29	4.661451203
提供持有本基	29	29	4.661451203
指數績效表現	29	26	4.778229566
投資風險的主	29	29	4.661451203
投資與投資風	29	29	4.661451203
投資策略採由	29	29	4.661451203
投資等級債券	29	29	4.661451203
投資人穩定收	29	29	4.661451203
所?國內及外	29	29	4.661451203
或發行而於印	29	29	4.661451203
惠印度經濟發	29	29	4.661451203
惟不計入本目	29	29	4.661451203
度相關國家之	29	29	4.661451203
年限間提供持	29	29	4.661451203
幣單日兌美元	29	29	4.661451203
布之股價指數	29	26	4.778229566
市場發布之發	29	15	5.366452344
市場債為投資	29	29	4.661451203
市債券換股權	29	27	4.737869838
定到期年限間	29	29	4.661451203
存續期間趨向	29	29	4.661451203
大部分的債券	29	29	4.661451203
場發布之發行	29	15	5.366452344
場債為投資標	29	29	4.661451203
基?股份或投	29	26	4.778229566
基金的投資策	29	29	4.661451203
基金於成立六	29	23	4.909341208
基金大部分的	29	29	4.661451203
基金在設定到	29	29	4.661451203
基金主要以美	29	29	4.661451203
在設定到期年	29	29	4.661451203
國貨幣單日兌	29	29	4.661451203
國證券交?所	29	29	4.661451203
國有價證券及	29	29	4.661451203
回交易或買入	29	29	4.661451203
單一印度相關	29	29	4.661451203
向到期而逐年	29	29	4.661451203
同時基金投資	29	29	4.661451203
合的存續期間	29	29	4.661451203
合本目所述投	29	29	4.661451203
合下列任一信	29	29	4.661451203
受惠印度經濟	29	29	4.661451203
及其企業所發	29	29	4.661451203
及不動產投資	29	29	4.661451203
前項八所列之	29	29	4.661451203
前開任一資產	29	29	4.661451203
券投資與投資	29	29	4.661451203
到期而逐年降	29	29	4.661451203
到期年限間提	29	29	4.661451203
到期之投資人	29	29	4.661451203
列規範進?投	29	29	4.661451203
列任一信用評	29	29	4.661451203
切之主要雙邊	29	29	4.661451203
分的債券投資	29	29	4.661451203
分散的債券投	29	29	4.661451203
冊或登記之機	29	23	4.909341208
兌美元匯率跌	29	29	4.661451203
元計價的新興	29	29	4.661451203
元策略進行投	29	29	4.661451203
元匯率跌幅達	29	29	4.661451203
價的新興市場	29	29	4.661451203
價格波動亦可	29	29	4.661451203
債為投資標的	29	29	4.661451203
債券投資與投	29	29	4.661451203
以達本基金在	29	29	4.661451203
以符合本目所	29	29	4.661451203
人穩定收益來	29	29	4.661451203
交易或買入短	29	29	4.661451203
之投資人穩定	29	29	4.661451203
之主要雙邊貿	29	29	4.661451203
主要雙邊貿易	29	29	4.661451203
主要以美元計	29	29	4.661451203
且投資總金額	29	29	4.661451203
且單一印度相	29	29	4.661451203
不計入本目所	29	29	4.661451203
下列任一信用	29	29	4.661451203
上市債券換股	29	27	4.737869838
一印度相關國	29	29	4.661451203
?得投資高收	28	28	4.669895737
點以外之債券	28	28	4.669895737
項八所列之有	28	28	4.669895737
間在ㄧ年以上	28	28	4.669895737
金管理辦法得	28	28	4.669895737
部或?管會核	28	28	4.669895737
辦法得於中華	28	28	4.669895737
資等級債券者	28	28	4.669895737
資於子基金之	28	28	4.669895737
財政部或?管	28	28	4.669895737
證券等有價證	28	28	4.669895737
證券交易所股	28	28	4.669895737
評等?一致者	28	28	4.669895737
評定為投資等	28	28	4.669895737
評定債務發?	28	17	5.200217176
評公司評定債	28	28	4.669895737
華民國證券櫃	28	28	4.669895737
興市場之國家	28	28	4.669895737
股票型基金受	28	27	4.708546805
股權公司債及	28	14	5.406563709
維爾京群島及	28	28	4.669895737
管理辦法得於	28	28	4.669895737
確保基?安全	28	28	4.669895737
益證券等有價	28	28	4.669895737
發行而於美國	28	28	4.669895737
由前述國家或	28	28	4.669895737
用評等?一致	28	28	4.669895737
生信用評等?	28	28	4.669895737
理辦法得於中	28	28	4.669895737
理之固定收益	28	28	4.669895737
爾京群島及英	28	28	4.669895737
為投資等級債	28	28	4.669895737
法得於中華民	28	28	4.669895737
民國證券櫃檯	28	28	4.669895737
權股價指數最	28	14	5.406563709
權公司債及交	28	14	5.406563709
核准募集之封	28	28	4.669895737
本基?得投資	28	28	4.669895737
本基金投資區	28	28	4.669895737
期間在ㄧ年以	28	28	4.669895737
易所股份有限	28	28	4.669895737
於該基金淨資	28	18	5.139469944
於子基金之總	28	28	4.669895737
新興市場之國	28	28	4.669895737
政部或?管會	28	28	4.669895737
投資項目之資	28	28	4.669895737
所發行而於美	28	28	4.669895737
所列國內及外	28	28	4.669895737
或?管會核准	28	28	4.669895737
或地區之高收	28	15	5.333238966
惟投資高收?	28	28	4.669895737
幣計價之債券	28	28	4.669895737
市場及美國店	28	28	4.669895737
屬維爾京群島	28	28	4.669895737
家評等等級未	28	28	4.669895737
家或地區債券	28	14	5.406563709
家或地區之高	28	15	5.333238966
定為投資等級	28	28	4.669895737
定投資比例限	28	24	4.833725111
定債務發?評	28	17	5.200217176
場及美國店頭	28	28	4.669895737
報生效得於中	28	28	4.669895737
基?得投資高	28	28	4.669895737
基金投資區域	28	28	4.669895737
在特殊情況下	28	23	4.878956926
國證券櫃檯買	28	28	4.669895737
國家或地區債	28	14	5.406563709
司評定債務發	28	28	4.669895737
及盧森堡等國	28	27	4.708546805
區掛牌或交易	28	28	4.669895737
券?符合本款	28	28	4.669895737
券等有價證券	28	28	4.669895737
券化商品之總	28	26	4.748656744
券交易所股份	28	28	4.669895737
列國內及外國	28	28	4.669895737
分之三十之範	28	28	4.669895737
准募集之封閉	28	28	4.669895737
其中投資於股	28	28	4.669895737
公司評定債務	28	28	4.669895737
公司所發行之	28	28	4.669895737
信評公司評定	28	28	4.669895737
信用評等?一	28	28	4.669895737
低於該基金淨	28	18	5.139469944
但如有關法令	28	28	4.669895737
以符合前述之	28	28	4.669895737
以下且不得低	28	28	4.669895737
人中華民國證	28	28	4.669895737
交易所股份有	28	28	4.669895737
之安全為目標	28	28	4.669895737
之國外有價證	28	27	4.708546805
之三十之範圍	28	28	4.669895737
主要投資標的	28	24	4.833725111
中長期之投資	28	28	4.669895737
下且不得低於	28	28	4.669895737
?公司應於三	27	27	4.678157249
?規範進行投	27	27	4.678157249
?低於本基金	27	15	5.298817568
?管會核准得	27	27	4.678157249
?原持有之債	27	27	4.678157249
馬恩島等國家	27	27	4.678157249
關規定修正時	27	27	4.678157249
金成立屆滿五	27	27	4.678157249
述國家或機構	27	27	4.678157249
資於前述八之	27	27	4.678157249
資於下列外國	27	27	4.678157249
評等未達下列	27	27	4.678157249
託事業運用證	27	27	4.678157249
經財政部或?	27	27	4.678157249
立屆滿五年後	27	27	4.678157249
稱本國子基金	27	27	4.678157249
目所述之投資	27	27	4.678157249
益證券或基礎	27	27	4.678157249
發行之債券或	27	19	5.04920807
本子基金得投	27	27	4.678157249
本基?原持有	27	27	4.678157249
有價證券及外	27	27	4.678157249
於股票之總額	27	27	4.678157249
於檢視後三個	27	27	4.678157249
於基金淨資產	27	15	5.298817568
於上述國家交	27	27	4.678157249
指信託契約終	27	27	4.678157249
投資於下列外	27	27	4.678157249
所列之指數成	27	27	4.678157249
或地區之證券	27	27	4.678157249
或上櫃契約之	27	27	4.678157249
成立屆滿五年	27	27	4.678157249
應於檢視後三	27	27	4.678157249
恩島等國家或	27	27	4.678157249
家交易之債券	27	27	4.678157249
子基金得投資	27	27	4.678157249
基?原持有之	27	27	4.678157249
國家交易之債	27	27	4.678157249
國及盧森堡等	27	26	4.718008313
受益證券或基	27	27	4.678157249
券及其他經金	27	27	4.678157249
列外國有價證	27	27	4.678157249
價證券及外國	27	27	4.678157249
債券及其他經	27	27	4.678157249
係指信託契約	27	27	4.678157249
事業運用證券	27	27	4.678157249
下?規範進行	27	27	4.678157249
下列外國有價	27	27	4.678157249
上櫃契約之興	27	27	4.678157249
?成分國家或	26	16	5.195408326
點所訂投資比	26	26	4.686203068
頭市場交易以	26	26	4.686203068
重大且非預期	26	26	4.686203068
述國家及地區	26	19	5.015170127
證券及資產基	26	24	4.770152628
與於外國證券	26	26	4.686203068
續期間之限制	26	26	4.686203068
經臺灣證券交	26	26	4.686203068
管會核准投資	26	26	4.686203068
等證券相關商	26	26	4.686203068
等有價證券之	26	24	4.770152628
比?之限制時	26	26	4.686203068
櫃契約之興櫃	26	26	4.686203068
構所發行之債	26	18	5.071876347
條?募集之不	26	26	4.686203068
本基金依前述	26	26	4.686203068
會核准投資之	26	26	4.686203068
於下列外國有	26	26	4.686203068
數績效表現為	26	26	4.686203068
換股權?證書	26	23	4.81478956
投資策略詳如	26	26	4.686203068
意上市或上櫃	26	26	4.686203068
心同意上市或	26	26	4.686203068
得低於淨資產	26	24	4.770152628
存續期間之限	26	26	4.686203068
契約之興櫃股	26	26	4.686203068
大且非預期之	26	26	4.686203068
型基金及追蹤	26	26	4.686203068
地區之高收益	26	13	5.413182485
同意上市或上	26	26	4.686203068
及資產基礎證	26	24	4.770152628
區之高收益債	26	13	5.413182485
前述國家或機	26	26	4.686203068
券及資產基礎	26	24	4.770152628
全球新興市場	26	19	5.015170127
債券型及貨幣	26	22	4.861410996
之總金額需達	26	26	4.686203068
中投資於股票	26	26	4.686203068
不高於本基金	26	16	5.195408326
上述國家及地	26	19	5.015170127
一信用評等規	26	26	4.686203068
?規定進?投	25	25	4.693995171
高收益債券外	25	25	4.693995171
馬來西亞與新	25	25	4.693995171
金可投資之新	25	25	4.693995171
運用或投資於	25	12	5.458359561
質之不動產證	25	25	4.693995171
資產管理所屬	25	10	5.648231439
計入本目所述	25	25	4.693995171
規定進?投資	25	25	4.693995171
融債券及其他	25	25	4.693995171
織債券及依金	25	25	4.693995171
總金額需達本	25	25	4.693995171
示基?保管機	25	22	4.827122392
發行而於印度	25	25	4.693995171
民國之上市或	25	25	4.693995171
核准證券投資	25	25	4.693995171
摩根全球新興	25	19	4.979797026
指示基?保管	25	22	4.827122392
投資於中國大	25	25	4.693995171
所發布之股價	25	22	4.827122392
或地區發生政	25	25	4.693995171
或地區或中華	25	25	4.693995171
應達本基?淨	25	19	4.979797026
應達基金淨資	25	22	4.827122392
惟投資於前述	25	25	4.693995171
性質之不動產	25	25	4.693995171
市場所發布之	25	22	4.827122392
市場交?之股	25	25	4.693995171
外上市或上櫃	25	25	4.693995171
場所發布之股	25	22	4.827122392
場交?之股票	25	25	4.693995171
基金可投資之	25	25	4.693995171
地區發生政治	25	25	4.693995171
地區有下列情	25	25	4.693995171
地區或中華民	25	25	4.693995171
國或地區或中	25	25	4.693995171
國家或地區為	25	25	4.693995171
國內外有價證	25	25	4.693995171
國內外上市或	25	25	4.693995171
國之上市或上	25	25	4.693995171
商品及不動產	25	25	4.693995171
品及不動產證	25	25	4.693995171
可投資之新興	25	25	4.693995171
及外國子基?	25	20	4.926379568
及受惠印度經	25	25	4.693995171
區有下列情形	25	25	4.693995171
區或中華民國	25	25	4.693995171
券換股權?證	25	22	4.827122392
內外有價證券	25	25	4.693995171
內外上市或上	25	25	4.693995171
入本目所述之	25	25	4.693995171
債券換股權?	25	22	4.827122392
債券及依金融	25	25	4.693995171
依下?規定進	25	25	4.693995171
任一資產種類	25	25	4.693995171
以及受惠印度	25	25	4.693995171
他經財政部核	25	25	4.693995171
並指示基?保	25	22	4.827122392
並應符合金管	25	25	4.693995171
下?規定進?	25	25	4.693995171
上市上櫃股票	25	24	4.73650769
一資產種類之	25	25	4.693995171
?國家主權評	24	24	4.701489116
?人之長期債	24	24	4.701489116
高收益債券不	24	24	4.701489116
額占基金淨資	24	24	4.701489116
集及銷售之債	24	24	4.701489116
銷售之債券型	24	24	4.701489116
銀行定期存單	24	24	4.701489116
金額?低於本	24	12	5.418004096
金額占基金淨	24	24	4.701489116
金管會核准投	24	24	4.701489116
金投資區域範	24	24	4.701489116
金受益證券及	24	24	4.701489116
運用於銀行存	24	24	4.701489116
轉讓銀行定期	24	24	4.701489116
蹤標的指數績	24	21	4.8395222
質之高收益債	24	12	5.418004096
資產等任一資	24	24	4.701489116
資產種?之總	24	24	4.701489116
資區域範圍涵	24	24	4.701489116
讓銀行定期存	24	24	4.701489116
計投資達本基	24	7	5.975171574
臺灣證券交易	24	23	4.745483526
總金額?低於	24	12	5.418004096
範圍涵蓋全球	24	24	4.701489116
種?之總?額	24	24	4.701489116
票型基金受益	24	23	4.745483526
目以外之債券	24	24	4.701489116
發?國家主權	24	24	4.701489116
發?人之長期	24	24	4.701489116
由中國大陸地	24	12	5.418004096
用於銀行存款	24	24	4.701489116
產種?之總?	24	24	4.701489116
現款現貨交?	24	20	4.889957208
款特殊情形結	24	24	4.701489116
根大通新興市	24	18	4.998869701
本基金投資前	24	24	4.701489116
本基金之投資	24	24	4.701489116
有價證券應符	24	24	4.701489116
施外匯管制或	24	24	4.701489116
擔保性質之高	24	12	5.418004096
括但不限於反	24	14	5.258656594
投資該國家或	24	24	4.701489116
投資區域範圍	24	24	4.701489116
所定投資比例	24	24	4.701489116
或地區經金管	24	24	4.701489116
或合計投資達	24	7	5.975171574
或合計投資比	24	13	5.335262939
成份國家或地	24	24	4.701489116
惟投資之高收	24	24	4.701489116
性質之高收益	24	12	5.418004096
得投資項目之	24	24	4.701489116
度政府或機構	24	24	4.701489116
家或地區經金	24	24	4.701489116
如因有關法?	24	20	4.889957208
大通新興市場	24	18	4.998869701
場交易之有價	24	24	4.701489116
場之國家或地	24	24	4.701489116
基金投資策略	24	24	4.701489116
基金投資前述	24	24	4.701489116
基金存續期間	24	24	4.701489116
域範圍涵蓋全	24	24	4.701489116
型基?受?憑	24	22	4.791433873
均存續期間在	24	24	4.701489116
地區經金管會	24	24	4.701489116
國有價證券應	24	24	4.701489116
國家或地區經	24	24	4.701489116
固定收?證券	24	24	4.701489116
因有關法?或	24	20	4.889957208
合計投資達本	24	7	5.975171574
可轉讓銀行定	24	24	4.701489116
及銷售之債券	24	24	4.701489116
及其他經財政	24	24	4.701489116
即非高收益債	24	24	4.701489116
區經金管會核	24	24	4.701489116
區域範圍涵蓋	24	24	4.701489116
化商品及不動	24	24	4.701489116
前述新興市場	24	22	4.791433873
前款特殊情形	24	24	4.701489116
券發?人之長	24	24	4.701489116
券即非高收益	24	24	4.701489116
券化商品及不	24	24	4.701489116
券且債券發?	24	24	4.701489116
具優先擔保性	24	12	5.418004096
其他債券總額	24	24	4.701489116
先擔保性質之	24	12	5.418004096
優先擔保性質	24	12	5.418004096
價證券應符合	24	24	4.701489116
債及金融債券	24	24	4.701489116
債券發?人之	24	24	4.701489116
俟前款特殊情	24	24	4.701489116
保性質之高收	24	12	5.418004096
但不限於反向	24	14	5.258656594
企業債券指數	24	24	4.701489116
份國家或地區	24	24	4.701489116
任一資產種?	24	24	4.701489116
以從事或轉投	24	24	4.701489116
之總金額?低	24	12	5.418004096
之投資地區及	24	24	4.701489116
之國內外有價	24	24	4.701489116
中國大?地區	24	16	5.12062351
並以追蹤標的	24	21	4.8395222
且債券發?人	24	24	4.701489116
不限於反向型	24	14	5.258656594
不得低於淨資	24	22	4.791433873
一資產種?之	24	24	4.701489116
?總體經濟展	23	23	4.708632722
體經濟展望以	23	23	4.708632722
顧問事業提供	23	23	4.708632722
額需達本基金	23	23	4.708632722
非完全被動持	23	23	4.708632722
需達本基金淨	23	23	4.708632722
隊嚴密監控市	23	23	4.708632722
間投資團隊嚴	23	23	4.708632722
金額需達本基	23	23	4.708632722
金運用於銀行	23	23	4.708632722
金存續期間投	23	23	4.708632722
酬率的投資標	23	23	4.708632722
選符合信評與	23	23	4.708632722
選擇可達致優	23	23	4.708632722
選出價值低估	23	23	4.708632722
達致優化投資	23	23	4.708632722
逐一檢視持有	23	23	4.708632722
追求長期投資	23	23	4.708632722
述八所列標的	23	23	4.708632722
資顧問事業提	23	23	4.708632722
資組合的建構	23	23	4.708632722
資為買進並持	23	23	4.708632722
資料以決定區	23	23	4.708632722
資推介顧問服	23	23	4.708632722
資報酬率的投	23	23	4.708632722
資團隊嚴密監	23	23	4.708632722
資之國外有價	23	22	4.754226244
貨幣市場型之	23	23	4.708632722
證券投資顧問	23	23	4.708632722
證券及其他經	23	23	4.708632722
該受益證券或	23	23	4.708632722
評與存續期間	23	23	4.708632722
評估投資強度	23	23	4.708632722
討論其合適度	23	23	4.708632722
被動持有至到	23	23	4.708632722
蓋以達到多元	23	23	4.708632722
與產業上皆盡	23	23	4.708632722
與持券信評變	23	23	4.708632722
與存續期間要	23	23	4.708632722
與區域投資主	23	23	4.708632722
致優化投資報	23	23	4.708632722
能地涵蓋以達	23	23	4.708632722
股票型子基?	23	23	4.708632722
考?總體經濟	23	23	4.708632722
續期間投資團	23	23	4.708632722
總體經濟展望	23	23	4.708632722
經濟展望以決	23	23	4.708632722
結合總經展望	23	23	4.708632722
組合的建構採	23	23	4.708632722
篩選符合信評	23	23	4.708632722
符合法規限制	23	23	4.708632722
符合信評與存	23	23	4.708632722
目所列信用評	23	9	5.671002161
監控市場與持	23	23	4.708632722
盡可能地涵蓋	23	23	4.708632722
益較高的債券	23	23	4.708632722
益證券之總額	23	23	4.708632722
皆盡可能地涵	23	23	4.708632722
的建構採取下	23	23	4.708632722
發行而於中國	23	19	4.904595283
用評等與基本	23	23	4.708632722
產業與區域投	23	23	4.708632722
產業上皆盡可	23	23	4.708632722
率的投資標的	23	23	4.708632722
為買進並持有	23	23	4.708632722
濟展望以決定	23	23	4.708632722
涵蓋以達到多	23	23	4.708632722
況評估投資強	23	23	4.708632722
決定產業與區	23	23	4.708632722
決定區域配置	23	23	4.708632722
決定個別債券	23	23	4.708632722
檢視持有標的	23	23	4.708632722
構採取下列四	23	23	4.708632722
業與區域投資	23	23	4.708632722
業提供投資推	23	23	4.708632722
業上皆盡可能	23	23	4.708632722
析資料以決定	23	23	4.708632722
期間投資團隊	23	23	4.708632722
望以決定產業	23	23	4.708632722
有價證券投資	23	23	4.708632722
時篩選符合信	23	23	4.708632722
時機進行調整	23	23	4.708632722
料以決定區域	23	23	4.708632722
收益較高的債	23	23	4.708632722
擇可達致優化	23	23	4.708632722
提供投資推介	23	23	4.708632722
推介顧問服務	23	23	4.708632722
控市場與持券	23	23	4.708632722
採取下列四步	23	23	4.708632722
挑選出價值低	23	23	4.708632722
持券信評變化	23	23	4.708632722
投資顧問事業	23	23	4.708632722
投資組合的建	23	23	4.708632722
投資為買進並	23	23	4.708632722
投資推介顧問	23	23	4.708632722
投資報酬率的	23	23	4.708632722
投資團隊嚴密	23	23	4.708632722
投資之國外有	23	22	4.754226244
所定義之新興	23	23	4.708632722
慎挑選出價值	23	23	4.708632722
從信用評等與	23	23	4.708632722
從中審慎挑選	23	23	4.708632722
建立債券範疇	23	23	4.708632722
建構採取下列	23	23	4.708632722
市場與持券信	23	23	4.708632722
市場交易之債	23	23	4.708632722
展望以決定產	23	23	4.708632722
審慎挑選出價	23	23	4.708632722
密監控市場與	23	23	4.708632722
定產業與區域	23	23	4.708632722
定個別債券投	23	23	4.708632722
完全被動持有	23	23	4.708632722
存續期間投資	23	23	4.708632722
委託國內外證	23	19	4.904595283
外國證券交?	23	23	4.708632722
場與持券信評	23	23	4.708632722
場平均水準之	23	23	4.708632722
場交易之債券	23	23	4.708632722
報酬率的投資	23	23	4.708632722
基金所持有之	23	23	4.708632722
域上與產業上	23	23	4.708632722
型子基?之總	23	23	4.708632722
地涵蓋以達到	23	23	4.708632722
地域上與產業	23	23	4.708632722
地區交易之債	23	21	4.801941144
在地域上與產	23	23	4.708632722
團隊嚴密監控	23	23	4.708632722
嚴密監控市場	23	23	4.708632722
問事業提供投	23	23	4.708632722
同時篩選符合	23	23	4.708632722
合的建構採取	23	23	4.708632722
合信評與存續	23	23	4.708632722
司債及交換公	23	14	5.217820772
可達致優化投	23	23	4.708632722
可能地涵蓋以	23	23	4.708632722
取下列四步驟	23	23	4.708632722
區域投資主軸	23	23	4.708632722
區交易之債券	23	21	4.801941144
化投資報酬率	23	23	4.708632722
動持有至到期	23	23	4.708632722
前述八所列標	23	23	4.708632722
券投資顧問事	23	23	4.708632722
券投資為買進	23	23	4.708632722
別債券投資比	23	23	4.708632722
分析資料以決	23	23	4.708632722
出價值低估但	23	23	4.708632722
准證券投資顧	23	23	4.708632722
公司債及交換	23	14	5.217820772
全被動持有至	23	23	4.708632722
優化投資報酬	23	23	4.708632722
價值低估但收	23	23	4.708632722
債及交換公司	23	14	5.217820772
債券投資為買	23	23	4.708632722
債券投資比重	23	23	4.708632722
值低估但收益	23	23	4.708632722
個別債券投資	23	23	4.708632722
信評與存續期	23	23	4.708632722
信用評等與基	23	23	4.708632722
供投資推介顧	23	23	4.708632722
低估但收益較	23	23	4.708632722
但收益較高的	23	23	4.708632722
估但收益較高	23	23	4.708632722
以達到多元化	23	23	4.708632722
以決定產業與	23	23	4.708632722
以決定區域配	23	23	4.708632722
事業機構發行	23	23	4.708632722
事業提供投資	23	23	4.708632722
之股價指數有	23	23	4.708632722
之總?額不得	23	19	4.904595283
之平均股利率	23	21	4.801941144
中審慎挑選出	23	23	4.708632722
並非完全被動	23	23	4.708632722
並討論其合適	23	23	4.708632722
並且從信用評	23	23	4.708632722
且從信用評等	23	23	4.708632722
上與產業上皆	23	23	4.708632722
上皆盡可能地	23	23	4.708632722
一檢視持有標	23	23	4.708632722
?公司之專業	22	22	4.71536441
點所述之投資	22	22	4.71536441
體資產投資組	22	22	4.71536441
阿拉伯聯合大	22	21	4.76268928
間匯率選擇權	22	13	5.250559572
金投資比?之	22	22	4.71536441
金投資之國外	22	22	4.71536441
金可投資國家	22	22	4.71536441
述之投資比?	22	22	4.71536441
資項目之資產	22	22	4.71536441
資產投資組合	22	22	4.71536441
資比例限制者	22	22	4.71536441
資於高收?債	22	22	4.71536441
資於經理公司	22	12	5.331987118
資信託普通股	22	22	4.71536441
貨幣型或債券	22	10	5.517463064
證券應符合金	22	22	4.71536441
計入本點所述	22	22	4.71536441
行或經理之債	22	22	4.71536441
行或交?之債	22	15	5.104982905
經?公司之專	22	22	4.71536441
經濟或社會情	22	22	4.71536441
級未達金管會	22	22	4.71536441
等級未達金管	22	22	4.71536441
等等級未達金	22	22	4.71536441
符合本點所述	22	22	4.71536441
符合下列投資	22	22	4.71536441
稱外國子基金	22	22	4.71536441
科技事業之上	22	17	4.977654284
相當性質之債	22	22	4.71536441
益證券及其他	22	22	4.71536441
益債券定義時	22	22	4.71536441
發行或交?之	22	15	5.104982905
發行公司是否	22	22	4.71536441
當性質之債券	22	22	4.71536441
用評等等級致	22	22	4.71536441
用評等機構調	22	22	4.71536441
產投資信託普	22	22	4.71536441
理公司應於檢	22	22	4.71536441
理公司應以誠	22	22	4.71536441
濟或社會情勢	22	22	4.71536441
民幣計價之債	22	22	4.71536441
權評等等級未	22	22	4.71536441
業債券多元分	22	22	4.71536441
本點所述投資	22	22	4.71536441
本點所述之投	22	22	4.71536441
本點所訂投資	22	22	4.71536441
本目所述之投	22	22	4.71536441
本基?主要投	22	22	4.71536441
於高收?債券	22	22	4.71536441
於上述國家及	22	19	4.864504307
整體資產投資	22	22	4.71536441
拉伯聯合大公	22	21	4.76268928
投資於高收?	22	22	4.71536441
投資信託普通	22	22	4.71536441
技事業之上市	22	17	4.977654284
所述之任一信	22	22	4.71536441
或經理之債券	22	22	4.71536441
應符合下列投	22	22	4.71536441
惟不計入本點	22	22	4.71536441
幣間匯率選擇	22	13	5.250559572
幣市場型之基	22	22	4.71536441
幣型或債券型	22	10	5.517463064
市場型之基金	22	22	4.71536441
市場交易之有	22	22	4.71536441
外相當性質之	22	22	4.71536441
外幣間匯率選	22	13	5.250559572
場型之基金受	22	22	4.71536441
場企業債券多	22	22	4.71536441
基?主要投資	22	22	4.71536441
基金運用於銀	22	22	4.71536441
基金投資比?	22	22	4.71536441
基金投資之國	22	22	4.71536441
基金可投資國	22	22	4.71536441
地區之證券交	22	22	4.71536441
國外相當性質	22	22	4.71536441
因信用評等機	22	22	4.71536441
售之境外基?	22	22	4.71536441
合本點所述投	22	22	4.71536441
司應於檢視後	22	22	4.71536441
司債及金融債	22	22	4.71536441
受益證券等有	22	22	4.71536441
受本點所訂投	22	22	4.71536441
及國外相當性	22	22	4.71536441
原則上該基金	22	11	5.4205039
區證券交易所	22	22	4.71536441
則上該基金自	22	11	5.4205039
券應符合金管	22	22	4.71536441
券多元分散指	22	22	4.71536441
券之總額?得	22	22	4.71536441
券不得低於本	22	22	4.71536441
公司應於檢視	22	22	4.71536441
公司債及金融	22	22	4.71536441
內上市或上櫃	22	17	4.977654284
入本點所述之	22	22	4.71536441
債券多元分散	22	22	4.71536441
依經?公司之	22	22	4.71536441
伯聯合大公國	22	21	4.76268928
企業債券多元	22	22	4.71536441
以符合本點所	22	22	4.71536441
之貨幣市場工	22	22	4.71536441
之證券相關商	22	19	4.864504307
之企業所發行	22	21	4.76268928
之上市上櫃股	22	22	4.71536441
且不受本點所	22	22	4.71536441
不計入本點所	22	22	4.71536441
不受本點所訂	22	22	4.71536441
不受前述存續	22	22	4.71536441
下列有價證券	22	22	4.71536441
上該基金自成	22	11	5.4205039
顧問服務之外	21	21	4.721611104
附買回交易交	21	21	4.721611104
長期投資利得	21	21	4.721611104
金投資於經金	21	20	4.770817304
過基金淨資產	21	21	4.721611104
運用本基金資	21	21	4.721611104
超過基金淨資	21	21	4.721611104
資於經金管會	21	20	4.770817304
資於子基?之	21	21	4.721611104
資於中國大陸	21	21	4.721611104
資國家或地區	21	21	4.721611104
買回交易交易	21	21	4.721611104
證之總額不得	21	21	4.721611104
華民國中央銀	21	21	4.721611104
經理之債券型	21	21	4.721611104
約之興櫃股票	21	21	4.721611104
符合中華民國	21	21	4.721611104
發生該國貨幣	21	21	4.721611104
生該國貨幣單	21	21	4.721611104
率跌幅達百分	21	21	4.721611104
為主要投資標	21	17	4.934722036
民幣計價債券	21	21	4.721611104
櫃之興櫃股票	21	21	4.721611104
構所發?或經	21	21	4.721611104
業所發?而於	21	19	4.822547977
業之有價證券	21	21	4.721611104
服務之外國基	21	21	4.721611104
易交易對象及	21	21	4.721611104
易之總金額需	21	21	4.721611104
易之受益憑證	21	21	4.721611104
日起三個月內	21	21	4.721611104
於子基?之總	21	21	4.721611104
於國內上市或	21	16	4.995863606
於上述國家或	21	18	4.877076231
數所列之指數	21	21	4.721611104
換等證券相關	21	21	4.721611104
指本基金終止	21	21	4.721611104
投資於經金管	21	20	4.770817304
投資於子基?	21	21	4.721611104
投資國家或地	21	21	4.721611104
所發行之股票	21	6	5.985056415
或地區詳如【	21	21	4.721611104
或地區經濟發	21	21	4.721611104
或上櫃之興櫃	21	21	4.721611104
